isin,market_value,currency
XS1297557172,6821206,USD
DE000A1R07L4,4724723,USD
US345370BV11,5619252,USD
CND10001QD60,1124438,USD
XS2356040357,3076756,USD
US31428XAY22,8235607,USD
FR0012650281,641235,USD
FR001400F2Q0,4190307,USD
USQ94606AE22,4118654,USD
US911312BB15,5414864,USD
INE331A07273,2972779,USD
INE481G07166,3244497,USD
INE010A08065,4488737,USD
US86614RAF47,5793655,USD
FR0124261621,1581767,USD
US60937CAA36,900439,USD
US93317QAD79,9993273,USD
TH0148034703,8657460,USD
XS2325566847,9459870,USD
US02076XAC65,3952496,USD
US880779BA01,3506143,USD
USU88125AC04,3401211,USD
INE208A07281,8670483,USD
US69373UAA51,267878,USD
US12594KAA07,4094599,USD
US205677AB38,3309593,USD
US69370RAK32,3519158,USD
US707887A@47,1577541,USD
US166764AA86,6575752,USD
US71654QCP54,7084677,USD
INE206D08162,6210214,USD
US745310AB85,709698,USD
CA44882ZXZ12,2809584,USD
JP360540AR10,9641731,USD
CA44885ZEQ96,9683822,USD
INE017A08235,3910673,USD
XS1555576641,2598631,USD
XS1381693248,2117715,USD
NO0010892870,8899756,USD
NO0010806912,7280862,USD
USU85795AQ29,2560264,USD
JP338603AA35,6806168,USD
DE000A2GESQ1,1567613,USD
INE114A07802,8605761,USD
US03938LAA26,2698943,USD
